Clay County, Missouri, Average Temperature, January
Units: Degrees Fahrenheit,,,
Base Period: 1901-2000,,,
Missing: -99,,,
Date,Value,Anomaly,
189501,21.5,-5.1,
189601,29.6,3,
189701,25.4,-1.2,
189801,29.9,3.3,
189901,27.2,0.6,
190001,32.4,5.8,
190101,31,4.4,
190201,28.3,1.7,
190301,27.8,1.2,
190401,24,-2.6,
190501,17.8,-8.8,
190601,31.3,4.7,
190701,29.2,2.6,
190801,31,4.4,
190901,27.8,1.2,
191001,27.1,0.5,
191101,30.2,3.6,
191201,13.1,-13.5,
191301,26.8,0.2,
191401,32.4,5.8,
191501,24.2,-2.4,
191601,23.2,-3.4,
191701,28.3,1.7,
191801,13.7,-12.9,
191901,29.7,3.1,
192001,25.9,-0.7,
192101,32.6,6,
192201,26.3,-0.3,
192301,36,9.4,
192401,20.3,-6.3,
192501,24.7,-1.9,
192601,29.9,3.3,
192701,27,0.4,
192801,29.9,3.3,
192901,18.4,-8.2,
193001,14.3,-12.3,
193101,33.8,7.2,
193201,29.6,3,
193301,37.8,11.2,
193401,32.5,5.9,
193501,28.5,1.9,
193601,17,-9.6,
193701,19.7,-6.9,
193801,29.4,2.8,
193901,35.1,8.5,
194001,9.9,-16.7,
194101,29.5,2.9,
194201,28.6,2,
194301,24.9,-1.7,
194401,32.7,6.1,
194501,27.6,1,
194601,30.3,3.7,
194701,30.1,3.5,
194801,22.1,-4.5,
194901,22.6,-4,
195001,27.4,0.8,
195101,28.3,1.7,
195201,31,4.4,
195301,31.1,4.5,
195401,26.2,-0.4,
195501,28.3,1.7,
195601,25,-1.6,
195701,22.2,-4.4,
195801,28.7,2.1,
195901,22.5,-4.1,
196001,27.2,0.6,
196101,28,1.4,
196201,19.4,-7.2,
196301,16.9,-9.7,
196401,33.7,7.1,
196501,28.7,2.1,
196601,24.3,-2.3,
196701,30.1,3.5,
196801,25.6,-1,
196901,24.5,-2.1,
197001,22.3,-4.3,
197101,23.9,-2.7,
197201,25.3,-1.3,
197301,26.4,-0.2,
197401,23.6,-3,
197501,30,3.4,
197601,27.3,0.7,
197701,14.1,-12.5,
197801,17.2,-9.4,
197901,12.6,-14,
198001,29.2,2.6,
198101,30.3,3.7,
198201,19.6,-7,
198301,30.4,3.8,
198401,25.9,-0.7,
198501,19.6,-7,
198601,34.5,7.9,
198701,29.2,2.6,
198801,26.6,0,
198901,36.7,10.1,
199001,38.1,11.5,
199101,23.6,-3,
199201,36,9.4,
199301,25.8,-0.8,
199401,24.8,-1.8,
199501,27.6,1,
199601,24.6,-2,
199701,24.3,-2.3,
199801,32.6,6,
199901,28.1,1.5,
200001,31.9,5.3,
200101,28.6,2,
200201,33.6,7,
200301,26.9,0.3,
200401,27.5,0.9,
200501,28.5,1.9,
200601,40.2,13.6,
200701,29.1,2.5,
200801,27.9,1.3,
200901,26.6,0,
201001,22.8,-3.8,
201101,23.3,-3.3,
201201,35.2,8.6,
201301,32.6,6,
201401,24.7,-1.9,
201501,30.8,4.2,
201601,29.4,2.8,
201701,32.4,5.8,
201801,27.4,0.8,
201901,28.3,1.7,
202001,31,4.4,
