Johnson County, Kansas, Average Temperature, January
Units: Degrees Fahrenheit,,,
Base Period: 1901-2000,,,
Missing: -99,,,
Date,Value,Anomaly,
189501,22.4,-5.4,
189601,30,2.2,
189701,26.4,-1.4,
189801,30.9,3.1,
189901,27.8,0,
190001,33.2,5.4,
190101,31.7,3.9,
190201,29.2,1.4,
190301,29.9,2.1,
190401,26.6,-1.2,
190501,19,-8.8,
190601,32.2,4.4,
190701,31,3.2,
190801,31.8,4,
190901,29.3,1.5,
191001,28.2,0.4,
191101,31.3,3.5,
191201,15.2,-12.6,
191301,27.7,-0.1,
191401,34.2,6.4,
191501,25.7,-2.1,
191601,24,-3.8,
191701,29.7,1.9,
191801,15.3,-12.5,
191901,29.8,2,
192001,27.6,-0.2,
192101,34.3,6.5,
192201,27.1,-0.7,
192301,37.1,9.3,
192401,22.3,-5.5,
192501,25.8,-2,
192601,31.4,3.6,
192701,28.6,0.8,
192801,30.9,3.1,
192901,20.7,-7.1,
193001,15.5,-12.3,
193101,34.8,7,
193201,30.3,2.5,
193301,38.8,11,
193401,33.6,5.8,
193501,30.2,2.4,
193601,20.1,-7.7,
193701,20.7,-7.1,
193801,31,3.2,
193901,36.5,8.7,
194001,11,-16.8,
194101,30.6,2.8,
194201,29.5,1.7,
194301,26.3,-1.5,
194401,33.5,5.7,
194501,28.7,0.9,
194601,31.5,3.7,
194701,30.8,3,
194801,23.8,-4,
194901,24.4,-3.4,
195001,29.7,1.9,
195101,29.6,1.8,
195201,32.8,5,
195301,33,5.2,
195401,28,0.2,
195501,30.2,2.4,
195601,26.3,-1.5,
195701,23.8,-4,
195801,30.3,2.5,
195901,23.9,-3.9,
196001,29,1.2,
196101,29.4,1.6,
196201,21.2,-6.6,
196301,18.7,-9.1,
196401,34.9,7.1,
196501,30.4,2.6,
196601,25.7,-2.1,
196701,31.8,4,
196801,27.2,-0.6,
196901,26.2,-1.6,
197001,23.9,-3.9,
197101,25.5,-2.3,
197201,26.3,-1.5,
197301,27.4,-0.4,
197401,24.4,-3.4,
197501,30.6,2.8,
197601,29.4,1.6,
197701,16.3,-11.5,
197801,17,-10.8,
197901,13.9,-13.9,
198001,29.7,1.9,
198101,31.6,3.8,
198201,21.8,-6,
198301,31,3.2,
198401,27,-0.8,
198501,19.8,-8,
198601,35.6,7.8,
198701,29.5,1.7,
198801,27.1,-0.7,
198901,37.4,9.6,
199001,38.7,10.9,
199101,24.1,-3.7,
199201,36.2,8.4,
199301,26.6,-1.2,
199401,26.2,-1.6,
199501,28.7,0.9,
199601,25.7,-2.1,
199701,26,-1.8,
199801,33,5.2,
199901,28.6,0.8,
200001,32.8,5,
200101,29.1,1.3,
200201,34.1,6.3,
200301,28.4,0.6,
200401,28.5,0.7,
200501,29.3,1.5,
200601,40.8,13,
200701,29.4,1.6,
200801,28.7,0.9,
200901,28,0.2,
201001,23.4,-4.4,
201101,23.8,-4,
201201,36.3,8.5,
201301,33.4,5.6,
201401,25.7,-2.1,
201501,31.8,4,
201601,30.4,2.6,
201701,33.2,5.4,
201801,28.5,0.7,
201901,29.1,1.3,
202001,32.4,4.6,
