Kansas City, Missouri, Average Temperature, April
Units: Degrees Fahrenheit,,,
Missing: -99,,,
Date,Value,,
197304,52.4,,
197404,56.8,,
197504,53.5,,
197604,57,,
197704,60.3,,
197804,56.2,,
197904,52.2,,
198004,55.2,,
198104,61.8,,
198204,51.8,,
198304,47,,
198404,51,,
198504,58.5,,
198604,57.7,,
198704,56.9,,
198804,54.5,,
198904,57.2,,
199004,52.9,,
199104,56.9,,
199204,53.4,,
199304,50.6,,
199404,54.1,,
199504,53,,
199604,53.2,,
199704,49.1,,
199804,54.6,,
199904,54.8,,
200004,55.2,,
200104,60.6,,
200204,57.1,,
200304,57.3,,
200404,56.9,,
200504,56.8,,
200604,60.6,,
200704,51.9,,
200804,51.6,,
200904,53,,
201004,60.4,,
201104,55.8,,
201204,59,,
201304,49.9,,
201404,53.6,,
201504,56.8,,
201604,57.1,,
201704,57,,
201804,47.4,,
201904,56.5,,
202004,52.6,,
