Kansas City, Missouri, Average Temperature, February
Units: Degrees Fahrenheit,,,
Missing: -99,,,
Date,Value,,
197302,34.4,,
197402,36,,
197502,28.4,,
197602,43.4,,
197702,35.7,,
197802,20.2,,
197902,21.6,,
198002,25.9,,
198102,34,,
198202,28.4,,
198302,36.5,,
198402,39.6,,
198502,26,,
198602,31.1,,
198702,39.5,,
198802,28,,
198902,23.1,,
199002,36.5,,
199102,39.7,,
199202,40,,
199302,28.9,,
199402,30.3,,
199502,36.2,,
199602,34.4,,
199702,34.1,,
199802,41.5,,
199902,41.5,,
200002,41.1,,
200102,30.2,,
200202,37.3,,
200302,30.3,,
200402,31.4,,
200502,38.3,,
200602,33.6,,
200702,28.1,,
200802,27.7,,
200902,36.8,,
201002,27.3,,
201102,29.5,,
201202,38.1,,
201302,32.4,,
201402,24.8,,
201502,25.3,,
201602,39.2,,
201702,43.7,,
201802,32.4,,
201902,27.8,,
202002,35.5,,
