Kansas City, Missouri, Average Temperature, May
Units: Degrees Fahrenheit,,,
Missing: -99,,,
Date,Value,,
197305,62.2,,
197405,66.2,,
197505,67.8,,
197605,60.6,,
197705,69.7,,
197805,62.7,,
197905,64.2,,
198005,64.6,,
198105,61.1,,
198205,66.2,,
198305,60.2,,
198405,61.1,,
198505,66.6,,
198605,65.2,,
198705,70.7,,
198805,69.1,,
198905,63.4,,
199005,60.6,,
199105,67.9,,
199205,62.8,,
199305,63.8,,
199405,64.8,,
199505,59.6,,
199605,65,,
199705,60.1,,
199805,71.3,,
199905,63.7,,
200005,67.5,,
200105,66.4,,
200205,62.1,,
200305,63.2,,
200405,67.3,,
200505,64.6,,
200605,65.4,,
200705,68.1,,
200805,63.6,,
200905,64.8,,
201005,64,,
201105,63,,
201205,69.6,,
201305,62.7,,
201405,66,,
201505,63.5,,
201605,62.7,,
201705,63.8,,
201805,73.4,,
201905,62.9,,
