Kansas City, Missouri, Average Temperature, October
Units: Degrees Fahrenheit,,,
Missing: -99,,,
Date,Value,,
197210,53.8,,
197310,61.3,,
197410,58.3,,
197510,59.5,,
197610,51.4,,
197710,56.3,,
197810,57,,
197910,58.4,,
198010,54.7,,
198110,56,,
198210,56.3,,
198310,57.8,,
198410,57.4,,
198510,57.2,,
198610,56.9,,
198710,52.1,,
198810,52.3,,
198910,58.2,,
199010,57.3,,
199110,57.9,,
199210,56.8,,
199310,53.8,,
199410,57.8,,
199510,57.9,,
199610,56.6,,
199710,58.1,,
199810,58.9,,
199910,57.3,,
200010,60.1,,
200110,56.2,,
200210,50.7,,
200310,57.6,,
200410,57.8,,
200510,57,,
200610,54.3,,
200710,59.6,,
200810,55.6,,
200910,50.6,,
201010,58.6,,
201110,58.3,,
201210,54.7,,
201310,55.1,,
201410,57.6,,
201510,58.4,,
201610,61.8,,
201710,57.7,,
201810,55.5,,
201910,51.4,,
