Shawnee County, Kansas, Average Temperature, May-April
Units: Degrees Fahrenheit,,,
Base Period: 1901-2000,,,
Missing: -99,,,
Date,Value,Anomaly,
189604,53.8,-0.2,
189704,53.2,-0.8,
189804,54.3,0.3,
189904,50.6,-3.4,
190004,54.6,0.6,
190104,53.9,-0.1,
190204,53.9,-0.1,
190304,53.2,-0.8,
190404,51.3,-2.7,
190504,51.8,-2.2,
190604,53.3,-0.7,
190704,53.4,-0.6,
190804,54,0,
190904,53.3,-0.7,
191004,54,0,
191104,53.5,-0.5,
191204,52,-2,
191304,53.3,-0.7,
191404,55.8,1.8,
191504,54.3,0.3,
191604,52.2,-1.8,
191704,53.4,-0.6,
191804,50.9,-3.1,
191904,55.5,1.5,
192004,53.1,-0.9,
192104,55.2,1.2,
192204,55.1,1.1,
192304,55.1,1.1,
192404,53.2,-0.8,
192504,53.7,-0.3,
192604,53.4,-0.6,
192704,54.7,0.7,
192804,53.6,-0.4,
192904,52.9,-1.1,
193004,53.4,-0.6,
193104,55.4,1.4,
193204,56.2,2.2,
193304,54,0,
193404,56.2,2.2,
193504,57.3,3.3,
193604,51.8,-2.2,
193704,55.2,1.2,
193804,55.7,1.7,
193904,56,2,
194004,54.6,0.6,
194104,54.6,0.6,
194204,55.8,1.8,
194304,53.7,-0.3,
194404,53.2,-0.8,
194504,55,1,
194604,54.9,0.9,
194704,53.9,-0.1,
194804,54.4,0.4,
194904,53.5,-0.5,
195004,53.9,-0.1,
195104,51.9,-2.1,
195204,52,-2,
195304,55.3,1.3,
195404,56.7,2.7,
195504,56.1,2.1,
195604,53.8,-0.2,
195704,55.6,1.6,
195804,52.8,-1.2,
195904,53.6,-0.4,
196004,52.1,-1.9,
196104,54,0,
196204,51.2,-2.8,
196304,54.3,0.3,
196404,55.9,1.9,
196504,53.6,-0.4,
196604,54.9,0.9,
196704,54.7,0.7,
196804,52.5,-1.5,
196904,52.3,-1.7,
197004,52.7,-1.3,
197104,53.5,-0.5,
197204,54.4,0.4,
197304,52.6,-1.4,
197404,54.2,0.2,
197504,52.8,-1.2,
197604,55.8,1.8,
197704,52.5,-1.5,
197804,52.2,-1.8,
197904,51.7,-2.3,
198004,53.1,-0.9,
198104,57,3,
198204,52.4,-1.6,
198304,53.8,-0.2,
198404,53.2,-0.8,
198504,53.6,-0.4,
198604,53.8,-0.2,
198704,55.3,1.3,
198804,54.5,0.5,
198904,55.6,1.6,
199004,53.7,-0.3,
199104,55.4,1.4,
199204,56.7,2.7,
199304,51.4,-2.6,
199404,52.9,-1.1,
199504,54.8,0.8,
199604,52.7,-1.3,
199704,52.7,-1.3,
199804,53.8,-0.2,
199904,56.7,2.7,
200004,56.4,2.4,
200104,54,0,
200204,56.3,2.3,
200304,54.7,0.7,
200404,54.7,0.7,
200504,54.9,0.9,
200604,56.5,2.5,
200704,55.5,1.5,
200804,54.3,0.3,
200904,53.9,-0.1,
201004,52.6,-1.4,
201104,54.7,0.7,
201204,58.4,4.4,
201304,55.7,1.7,
201404,52.9,-1.1,
201504,54.7,0.7,
201604,57.7,3.7,
201704,58.1,4.1,
201804,54.4,0.4,
201904,55.1,1.1,
202004,55.4,1.4,
