Arizona County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Date","Value","Rank","1901-2000 Mean","Anomaly (1901-2000 base period)"
AZ-001,"Apache County",189501,30.7,68,29.7,1.0
AZ-001,"Apache County",189502,30.8,16,34.5,-3.7
AZ-001,"Apache County",189503,40.5,67,39.9,0.6
AZ-001,"Apache County",189504,48.1,68,47.4,0.7
AZ-001,"Apache County",189505,57.5,87,56.1,1.4
AZ-001,"Apache County",189506,63.4,14,65.5,-2.1
AZ-001,"Apache County",189507,69.3,8,71,-1.7
AZ-001,"Apache County",189508,69.4,71,69.1,0.3
AZ-001,"Apache County",189509,62.2,48,62.3,-0.1
AZ-001,"Apache County",189510,51.4,66,51.3,0.1
AZ-001,"Apache County",189511,33.1,1,39.2,-6.1
AZ-001,"Apache County",189512,23.5,4,30.9,-7.4
AZ-001,"Apache County",189601,33.3,98,29.7,3.6
AZ-001,"Apache County",189602,33.4,41,34.5,-1.1
AZ-001,"Apache County",189603,40.7,74,39.9,0.8
AZ-001,"Apache County",189604,46.9,44,47.4,-0.5
AZ-001,"Apache County",189605,56.9,79,56.1,0.8
AZ-001,"Apache County",189606,68.8,112,65.5,3.3
AZ-001,"Apache County",189607,70.9,54,71,-0.1
AZ-001,"Apache County",189608,69.1,58,69.1,0.0
AZ-001,"Apache County",189609,62.2,48,62.3,-0.1
AZ-001,"Apache County",189610,49.8,25,51.3,-1.5
AZ-001,"Apache County",189611,38.4,40,39.2,-0.8
AZ-001,"Apache County",189612,31.6,66,30.9,0.7
AZ-001,"Apache County",189701,29.0,47,29.7,-0.7
AZ-001,"Apache County",189702,30.6,15,34.5,-3.9
AZ-001,"Apache County",189703,36.9,17,39.9,-3.0
AZ-001,"Apache County",189704,47.6,58,47.4,0.2
AZ-001,"Apache County",189705,59.3,112,56.1,3.2
AZ-001,"Apache County",189706,63.6,19,65.5,-1.9
AZ-001,"Apache County",189707,70.1,29,71,-0.9
AZ-001,"Apache County",189708,70.4,99,69.1,1.3
AZ-001,"Apache County",189709,63.8,99,62.3,1.5
AZ-001,"Apache County",189710,50.2,35,51.3,-1.1
AZ-001,"Apache County",189711,41.3,93,39.2,2.1
AZ-001,"Apache County",189712,28.6,30,30.9,-2.3
AZ-001,"Apache County",189801,23.1,6,29.7,-6.6
AZ-001,"Apache County",189802,35.5,71,34.5,1.0
AZ-001,"Apache County",189803,37.2,21,39.9,-2.7
AZ-001,"Apache County",189804,52.0,120,47.4,4.6
AZ-001,"Apache County",189805,55.8,54,56.1,-0.3
AZ-001,"Apache County",189806,67.5,91,65.5,2.0
AZ-001,"Apache County",189807,73.3,115,71,2.3
AZ-001,"Apache County",189808,71.9,121,69.1,2.8
AZ-001,"Apache County",189809,63.7,94,62.3,1.4
AZ-001,"Apache County",189810,50.9,49,51.3,-0.4
AZ-001,"Apache County",189811,38.6,42,39.2,-0.6
AZ-001,"Apache County",189812,21.2,1,30.9,-9.7
AZ-001,"Apache County",189901,23.6,7,29.7,-6.1
AZ-001,"Apache County",189902,31.3,17,34.5,-3.2
AZ-001,"Apache County",189903,40.6,69,39.9,0.7
