Alaska County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Date","Value","Rank","1925-2000 Mean","Anomaly (1925-2000 base period)"
AK-013,"Aleutians East Borough",192501,18.5,11,25.2,-6.7
AK-013,"Aleutians East Borough",192502,22.5,23,25.3,-2.8
AK-013,"Aleutians East Borough",192503,30.2,65,27.3,2.9
AK-013,"Aleutians East Borough",192504,32.3,46,32.3,-0.0
AK-013,"Aleutians East Borough",192505,38.6,38,39,-0.4
AK-013,"Aleutians East Borough",192506,44.2,18,45.5,-1.3
AK-013,"Aleutians East Borough",192507,49.8,32,50.2,-0.4
AK-013,"Aleutians East Borough",192508,52.5,65,51.4,1.1
AK-013,"Aleutians East Borough",192509,48.4,72,46.9,1.5
AK-013,"Aleutians East Borough",192510,44.6,95,38.3,6.3
AK-013,"Aleutians East Borough",192511,32.9,54,31.7,1.2
AK-013,"Aleutians East Borough",192512,23.6,15,26.6,-3.0
AK-013,"Aleutians East Borough",192601,33.8,91,25.2,8.6
AK-013,"Aleutians East Borough",192602,24.0,32,25.3,-1.3
AK-013,"Aleutians East Borough",192603,33.6,89,27.3,6.3
AK-013,"Aleutians East Borough",192604,36.4,82,32.3,4.1
AK-013,"Aleutians East Borough",192605,40.1,66,39,1.1
AK-013,"Aleutians East Borough",192606,50.2,95,45.5,4.7
AK-013,"Aleutians East Borough",192607,52.4,86,50.2,2.2
AK-013,"Aleutians East Borough",192608,53.2,79,51.4,1.8
AK-013,"Aleutians East Borough",192609,50.5,91,46.9,3.6
AK-013,"Aleutians East Borough",192610,40.0,68,38.3,1.7
AK-013,"Aleutians East Borough",192611,38.4,94,31.7,6.7
AK-013,"Aleutians East Borough",192612,27.2,51,26.6,0.6
AK-013,"Aleutians East Borough",192701,31.0,81,25.2,5.8
AK-013,"Aleutians East Borough",192702,25.8,40,25.3,0.5
AK-013,"Aleutians East Borough",192703,19.3,6,27.3,-8.0
AK-013,"Aleutians East Borough",192704,27.6,6,32.3,-4.7
AK-013,"Aleutians East Borough",192705,37.6,24,39,-1.4
