Connecticut County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Date","Value","Rank","1901-2000 Mean","Anomaly (1901-2000 base period)"
CT-001,"Fairfield County",189501,23.4,24,26.8,-3.4
CT-001,"Fairfield County",189502,19.4,5,27.6,-8.2
CT-001,"Fairfield County",189503,31.6,9,36.7,-5.1
CT-001,"Fairfield County",189504,44.8,22,47.2,-2.4
CT-001,"Fairfield County",189505,57.8,59,57.7,0.1
CT-001,"Fairfield County",189506,68.0,93,66.5,1.5
CT-001,"Fairfield County",189507,67.2,1,71.8,-4.6
CT-001,"Fairfield County",189508,69.4,45,69.7,-0.3
CT-001,"Fairfield County",189509,64.6,92,62.8,1.8
CT-001,"Fairfield County",189510,45.9,2,52.3,-6.4
CT-001,"Fairfield County",189511,41.4,63,41.3,0.1
CT-001,"Fairfield County",189512,32.1,68,30.7,1.4
CT-001,"Fairfield County",189601,22.5,19,26.8,-4.3
CT-001,"Fairfield County",189602,26.8,48,27.6,-0.8
CT-001,"Fairfield County",189603,28.8,2,36.7,-7.9
CT-001,"Fairfield County",189604,48.2,78,47.2,1.0
CT-001,"Fairfield County",189605,61.1,113,57.7,3.4
CT-001,"Fairfield County",189606,64.1,14,66.5,-2.4
CT-001,"Fairfield County",189607,71.3,42,71.8,-0.5
CT-001,"Fairfield County",189608,70.0,61,69.7,0.3
CT-001,"Fairfield County",189609,60.8,18,62.8,-2.0
CT-001,"Fairfield County",189610,47.5,4,52.3,-4.8
CT-001,"Fairfield County",189611,43.9,100,41.3,2.6
CT-001,"Fairfield County",189612,27.0,21,30.7,-3.7
CT-001,"Fairfield County",189701,25.4,45,26.8,-1.4
CT-001,"Fairfield County",189702,27.2,51,27.6,-0.4
CT-001,"Fairfield County",189703,35.9,54,36.7,-0.8
CT-001,"Fairfield County",189704,47.4,61,47.2,0.2
CT-001,"Fairfield County",189705,57.6,55,57.7,-0.1
CT-001,"Fairfield County",189706,63.1,7,66.5,-3.4
CT-001,"Fairfield County",189707,71.3,42,71.8,-0.5
CT-001,"Fairfield County",189708,67.8,19,69.7,-1.9
CT-001,"Fairfield County",189709,61.3,25,62.8,-1.5
CT-001,"Fairfield County",189710,52.0,54,52.3,-0.3
CT-001,"Fairfield County",189711,39.7,32,41.3,-1.6
CT-001,"Fairfield County",189712,31.1,58,30.7,0.4
CT-001,"Fairfield County",189801,27.1,67,26.8,0.3
CT-001,"Fairfield County",189802,28.1,60,27.6,0.5
CT-001,"Fairfield County",189803,41.2,114,36.7,4.5
CT-001,"Fairfield County",189804,44.5,19,47.2,-2.7
CT-001,"Fairfield County",189805,55.3,17,57.7,-2.4
CT-001,"Fairfield County",189806,66.8,54,66.5,0.3
CT-001,"Fairfield County",189807,72.0,69,71.8,0.2
CT-001,"Fairfield County",189808,70.7,78,69.7,1.0
CT-001,"Fairfield County",189809,65.0,100,62.8,2.2
CT-001,"Fairfield County",189810,52.4,63,52.3,0.1
CT-001,"Fairfield County",189811,38.4,13,41.3,-2.9
CT-001,"Fairfield County",189812,28.3,31,30.7,-2.4
CT-001,"Fairfield County",189901,25.3,44,26.8,-1.5
CT-001,"Fairfield County",189902,22.8,16,27.6,-4.8
CT-001,"Fairfield County",189903,32.6,13,36.7,-4.1
CT-001,"Fairfield County",189904,46.4,44,47.2,-0.8
CT-001,"Fairfield County",189905,57.8,59,57.7,0.1
CT-001,"Fairfield County",189906,68.9,110,66.5,2.4
CT-001,"Fairfield County",189907,70.4,24,71.8,-1.4
CT-001,"Fairfield County",189908,68.8,31,69.7,-0.9
CT-001,"Fairfield County",189909,60.3,11,62.8,-2.5
CT-001,"Fairfield County",189910,52.6,71,52.3,0.3
CT-001,"Fairfield County",189911,39.5,28,41.3,-1.8
CT-001,"Fairfield County",189912,32.0,67,30.7,1.3
CT-001,"Fairfield County",190001,27.5,70,26.8,0.7
CT-001,"Fairfield County",190002,26.2,40,27.6,-1.4
CT-001,"Fairfield County",190003,30.7,6,36.7,-6.0
CT-001,"Fairfield County",190004,47.6,69,47.2,0.4
CT-001,"Fairfield County",190005,57.1,48,57.7,-0.6
CT-001,"Fairfield County",190006,67.5,78,66.5,1.0
CT-001,"Fairfield County",190007,73.1,91,71.8,1.3
CT-001,"Fairfield County",190008,72.1,103,69.7,2.4
CT-001,"Fairfield County",190009,66.0,112,62.8,3.2
CT-001,"Fairfield County",190010,55.7,112,52.3,3.4
CT-001,"Fairfield County",190011,42.7,82,41.3,1.4
CT-001,"Fairfield County",190012,29.7,42,30.7,-1.0
CT-001,"Fairfield County",190101,26.1,50,26.8,-0.7
CT-001,"Fairfield County",190102,20.6,11,27.6,-7.0
CT-001,"Fairfield County",190103,34.0,28,36.7,-2.7
CT-001,"Fairfield County",190104,46.0,37,47.2,-1.2
CT-001,"Fairfield County",190105,55.7,22,57.7,-2.0
CT-001,"Fairfield County",190106,67.8,87,66.5,1.3
CT-001,"Fairfield County",190107,74.1,106,71.8,2.3
CT-001,"Fairfield County",190108,70.4,71,69.7,0.7
CT-001,"Fairfield County",190109,62.9,60,62.8,0.1
CT-001,"Fairfield County",190110,50.9,30,52.3,-1.4
CT-001,"Fairfield County",190111,34.4,1,41.3,-6.9
CT-001,"Fairfield County",190112,28.8,32,30.7,-1.9
CT-001,"Fairfield County",190201,24.2,32,26.8,-2.6
CT-001,"Fairfield County",190202,24.2,24,27.6,-3.4
CT-001,"Fairfield County",190203,40.1,105,36.7,3.4
CT-001,"Fairfield County",190204,47.2,58,47.2,0.0
CT-001,"Fairfield County",190205,56.9,45,57.7,-0.8
CT-001,"Fairfield County",190206,64.4,18,66.5,-2.1
CT-001,"Fairfield County",190207,69.2,7,71.8,-2.6
CT-001,"Fairfield County",190208,67.4,13,69.7,-2.3
CT-001,"Fairfield County",190209,61.5,26,62.8,-1.3
CT-001,"Fairfield County",190210,51.8,51,52.3,-0.5
CT-001,"Fairfield County",190211,45.2,111,41.3,3.9
